Year,Total plastic waste ,Residential & commercial (tonnes),Co2_plastic_material,commercial methane,commercial(n2o),methane_plastic,N2o_plastic,plastic_waste,Discarded,Incinerated,Recycle,Plastic_in_ocean
1990,1.39,78497773.8,8634755.118,35520892.5,14805847.9,2486462.475,888350.874,115370,91142.3,10960.15,13036.81,3461.1
1991,1.62,85232354.1,9375558.951,36170423,15029636.9,2531929.61,901778.214,134460,106223.4,12773.7,15193.98,4033.8
1992,1.59,83521835.3,9187401.883,36443633.1,15233957.9,2551054.317,914037.474,131970,104256.3,12537.15,14912.61,3959.1
1993,1.41,81431134.5,8957424.795,36648383.3,15357523.9,2565386.831,921451.434,117030,92453.7,11117.85,13224.39,3510.9
1994,1.67,90351111.1,9938622.221,37023653.5,15585280.9,2591655.745,935116.854,138610,109501.9,13167.95,15662.93,4158.3
1995,1.75,91302665.9,10043293.25,37112273.6,15626541.9,2597859.152,937592.514,145250,114747.5,13798.75,16413.25,4357.5
1996,1.93,98706914.5,10857760.6,36722093.3,16054961.9,2570546.531,963297.714,160190,126550.1,15218.05,18101.47,4805.7
1997,2.65,108620843.9,11948292.83,36937763.4,16154533.9,2585643.438,969272.034,219950,173760.5,20895.25,24854.35,6598.5
1998,2.08,92650801.9,10191588.21,36223763,16131810.9,2535663.41,967908.654,172640,136385.6,16400.8,19508.32,5179.2
1999,2.75,102345141.8,11257965.6,36703823.3,16476530.9,2569267.631,988591.854,228250,180317.5,21683.75,25792.25,6847.5
2000,2.52,98900000,10879000,36496740,16362079,2554771.8,981724.74,209160,165236.4,19870.2,23635.08,6274.8
2001,2.71,97500000,10725000,36769740,16389018,2573881.8,983341.08,224930,177694.7,21368.35,25417.09,6747.9
2002,2.58,104000000,11440000,37517550,16591603,2626228.5,995496.18,214140,169170.6,20343.3,24197.82,6424.2
2003,2.74,112000000,12320000,38662680,17036391,2706387.6,1022183.46,227420,179661.8,21604.9,25698.46,6822.6
2004,3.01,115000000,12650000,38652390,16976220,2705667.3,1018573.2,249830,197365.7,23733.85,28230.79,7494.9
2005,3.32,117000000,12870000,39012960,16954055,2730907.2,1017243.3,275560,217692.4,26178.2,31138.28,8266.8
2006,3.52,123000000,13530000,39082260,17194677,2735758.2,1031680.62,292160,230806.4,27755.2,33014.08,8764.8
2007,3.85,144000000,15840000,40413240,17433067,2828926.8,1045984.02,319550,252444.5,30357.25,36109.15,9586.5
2008,4.1,164000000,18040000,41709360,17623004,2919655.2,1057380.24,340300,268837,32328.5,38453.9,10209
2009,4.35,175000000,19250000,42663600,18074085,2986452,1084445.1,361050,285229.5,34299.75,40798.65,10831.5
2010,4.49,163000000,17930000,42662550,18011310,2986378.5,1080678.6,372670,294409.3,35403.65,42111.71,11180.1
2011,5.2,180701386.4,19877152.5,43184336.45,18815385.79,3022903.552,1128923.147,431600,340964,41002,48770.8,12948
2012,5.8,197274663.2,21700212.95,44399923.74,19379850.32,3107994.662,1162791.019,481400,380306,45733,54398.2,14442
2013,6.4,213847939.9,23523273.39,45615511.02,19944314.86,3193085.771,1196658.892,531200,419648,50464,60025.6,15936
2014,7.12,233735871.9,25710945.91,47074215.77,20621672.3,3295195.104,1237300.338,590960,466858.4,56141.2,66778.48,17728.8
2015,7.83,253347582.7,27868234.1,48512660.72,21289622,3395886.25,1277377.32,649890,513413.1,61739.55,73437.57,19496.7
2016,8.2,263567770,28992454.7,49262272.88,21637708.47,3448359.102,1298262.508,680600,537674,64657,76907.8,20418
2017,8.9,282903259.5,31119358.55,50680458.05,22296250.42,3547632.064,1337775.025,738700,583573,70176.5,83473.1,22161
