Year,Total plastic waste ,Residential & commercial (tonnes),commercial(co2 in tonnes),commercial methane,commercial(n2o),Cloth Waste,discarded,Recycled,incenerated,waste in ocean,methane_due_to_cloth,N2o_due_to_cloth
1990,1.39,78497773.8,15699554.76,35520892.5,14805847.9,145950,118511.4,13281.45,14886.9,4378.5,3196880.325,1184467.832
1991,1.62,85232354.1,17046470.82,36170423,15029636.9,170100,138121.2,15479.1,17350.2,5103,3255338.07,1202370.952
1992,1.59,83521835.3,16704367.06,36443633.1,15233957.9,166950,135563.4,15192.45,17028.9,5008.5,3279926.979,1218716.632
1993,1.41,81431134.5,16286226.9,36648383.3,15357523.9,148050,120216.6,13472.55,15101.1,4441.5,3298354.497,1228601.912
1994,1.67,90351111.1,18070222.22,37023653.5,15585280.9,175350,142384.2,15956.85,17885.7,5260.5,3332128.815,1246822.472
1995,1.75,91302665.9,18260533.18,37112273.6,15626541.9,183750,149205,16721.25,18742.5,5512.5,3340104.624,1250123.352
1996,1.93,98706914.5,19741382.9,36722093.3,16054961.9,202650,164551.8,18441.15,20670.3,6079.5,3304988.397,1284396.952
1997,2.65,108620843.9,21724168.78,36937763.4,16154533.9,278250,225939,25320.75,28381.5,8347.5,3324398.706,1292362.712
1998,2.08,92650801.9,18530160.38,36223763,16131810.9,218400,177340.8,19874.4,22276.8,6552,3260138.67,1290544.872
1999,2.75,102345141.8,20469028.36,36703823.3,16476530.9,288750,234465,26276.25,29452.5,8662.5,3303344.097,1318122.472
2000,2.52,98900000,19780000,36496740,16362079,264600,25137,215119.8,23549.4,6453.594,3284706.6,1308966.32
2001,2.71,97500000,19500000,36769740,16389018,284550,27032.25,231339.15,25324.95,6940.1745,3309276.6,1311121.44
2002,2.58,104000000,20800000,37517550,16591603,270900,25735.5,220241.7,24110.1,6607.251,3376579.5,1327328.24
2003,2.74,112000000,22400000,38662680,17036391,287700,27331.5,233900.1,25605.3,7017.003,3479641.2,1362911.28
2004,3.01,115000000,23000000,38652390,16976220,316050,30024.75,256948.65,28128.45,7708.4595,3478715.1,1358097.6
2005,3.32,117000000,23400000,39012960,16954055,348600,33117,283411.8,31025.4,8502.354,3511166.4,1356324.4
2006,3.52,123000000,24600000,39082260,17194677,369600,35112,300484.8,32894.4,9014.544,3517403.4,1375574.16
2007,3.85,144000000,28800000,40413240,17433067,404250,38403.75,328655.25,35978.25,9859.6575,3637191.6,1394645.36
2008,4.1,164000000,32800000,41709360,17623004,430500,40897.5,349996.5,38314.5,10499.895,3753842.4,1409840.32
2009,4.35,175000000,35000000,42663600,18074085,456750,43391.25,371337.75,40650.75,11140.1325,3839724,1445926.8
2010,4.49,163000000,32600000,42662550,18011310,471450,44787.75,383288.85,41959.05,11498.6655,3839629.5,1440904.8
2011,5.2,180701386.4,36140277.28,43184336.45,18815385.79,546000,51870,443898,48594,13316.94,3886590.281,1505230.863
2012,5.8,197274663.2,39454932.64,44399923.74,19379850.32,609000,57855,495117,54201,14853.51,3995993.137,1550388.026
2013,6.4,213847939.9,42769587.98,45615511.02,19944314.86,672000,63840,546336,59808,16390.08,4105395.992,1595545.189
2014,7.12,233735871.9,46747174.38,47074215.77,20621672.3,747600,71022,607798.8,66536.4,18233.964,4236679.419,1649733.784
2015,7.83,253347582.7,50669516.54,48512660.72,21289622,822150,78104.25,668407.95,73171.35,20052.2385,4366139.465,1703169.76
2016,8.2,263567770,52713554,49262272.88,21637708.47,861000,81795,699993,76629,20999.79,4433604.559,1731016.678
2017,8.9,282903259.5,56580651.9,50680458.05,22296250.42,934500,88777.5,759748.5,83170.5,22792.455,4561241.225,1783700.034
