Year	Totalplasticwaste 	Residential & commercial (tonnes)	commercial(co2 in tonnes)	commercialmethane	commercial(n2o)	ClothWaste	Recycled	discarded	incenerated	wasteinocean
1990	1.39	78497773.8	39248886.9	35520892.5	14805847.9	145950	118511.4	13281.45	14886.9	4378.5
1991	1.62	85232354.1	42616177.05	36170423	15029636.9	170100	138121.2	15479.1	17350.2	5103
1992	1.59	83521835.3	41760917.65	36443633.1	15233957.9	166950	135563.4	15192.45	17028.9	5008.5
1993	1.41	81431134.5	40715567.25	36648383.3	15357523.9	148050	120216.6	13472.55	15101.1	4441.5
1994	1.67	90351111.1	45175555.55	37023653.5	15585280.9	175350	142384.2	15956.85	17885.7	5260.5
1995	1.75	91302665.9	45651332.95	37112273.6	15626541.9	183750	149205	16721.25	18742.5	5512.5
1996	1.93	98706914.5	49353457.25	36722093.3	16054961.9	202650	164551.8	18441.15	20670.3	6079.5
1997	2.65	108620843.9	54310421.95	36937763.4	16154533.9	278250	225939	25320.75	28381.5	8347.5
1998	2.08	92650801.9	46325400.95	36223763	16131810.9	218400	177340.8	19874.4	22276.8	6552
1999	2.75	102345141.8	51172570.9	36703823.3	16476530.9	288750	234465	26276.25	29452.5	8662.5
2000	2.52	98900000	49450000	36496740	16362079	264600	25137	215119.8	23549.4	6453.594
2001	2.71	97500000	48750000	36769740	16389018	284550	27032.25	231339.15	25324.95	6940.1745
2002	2.58	104000000	52000000	37517550	16591603	270900	25735.5	220241.7	24110.1	6607.251
2003	2.74	112000000	56000000	38662680	17036391	287700	27331.5	233900.1	25605.3	7017.003
2004	3.01	115000000	57500000	38652390	16976220	316050	30024.75	256948.65	28128.45	7708.4595
2005	3.32	117000000	58500000	39012960	16954055	348600	33117	283411.8	31025.4	8502.354
2006	3.52	123000000	61500000	39082260	17194677	369600	35112	300484.8	32894.4	9014.544
2007	3.85	144000000	72000000	40413240	17433067	404250	38403.75	328655.25	35978.25	9859.6575
2008	4.1	164000000	82000000	41709360	17623004	430500	40897.5	349996.5	38314.5	10499.895
2009	4.35	175000000	87500000	42663600	18074085	456750	43391.25	371337.75	40650.75	11140.1325
2010	4.49	163000000	81500000	42662550	18011310	471450	44787.75	383288.85	41959.05	11498.6655
2011	5.2	180701386.4	90350693.22	43184336.45	18815385.79	546000	51870	443898	48594	13316.94
2012	5.8	197274663.2	98637331.58	44399923.74	19379850.32	609000	57855	495117	54201	14853.51
2013	6.4	213847939.9	106923969.9	45615511.02	19944314.86	672000	63840	546336	59808	16390.08
2014	7.12	233735871.9	116867936	47074215.77	20621672.3	747600	71022	607798.8	66536.4	18233.964
2015	7.83	253347582.7	126673791.4	48512660.72	21289622	822150	78104.25	668407.95	73171.35	20052.2385
2016	8.2	263567770	131783885	49262272.88	21637708.47	861000	81795	699993	76629	20999.79
2017	8.9	282903259.5	141451629.8	50680458.05	22296250.42	934500	88777.5	759748.5	83170.5	22792.455
